"projectId","projectName","state","projectType","landRequired","landAcquired","land_acquisition_percentage","pending_parcels","disputed_parcels","compensation_pending_percentage","approval_delay_days","possession_delay_days","rr_pending_percentage","risk_score","risk_level","recommendation"
"PRJ-018","NH-876 Expansion","Maharashtra","Public Infrastructure","60.3","29.74","49.3","4","0","63","0","18","90.1","51","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-019","NH-832 Expansion","Uttar Pradesh","Railways","99.5","54.86","55.1","2","1","61.4","48","21","83.5","62","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-020","NH-485 Expansion","Karnataka","Highways","49.1","22.93","46.7","1","2","67.3","43","27","86","69","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-021","NH-21 Expansion","Tamil Nadu","Industrial Corridor","23.4","23.4","100","3","0","50","0","25","100","46","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-022","NH-274 Expansion","Uttar Pradesh","Railways","29.4","29.4","100","2","0","50","0","31","100","47","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-023","RURAL ROAD-316","Uttar Pradesh","Railways","50","50","100","4","0","5","0","0","25","12","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-024","NH-777 Expansion","Tamil Nadu","Public Infrastructure","73.9","48.72","65.9","3","0","40.7","0","31","67","46","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-025","NH-898 Expansion","Karnataka","Industrial Corridor","13.2","13.2","100","5","0","5","0","0","25","12","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-026","NH-367 Expansion","Tamil Nadu","Industrial Corridor","78.7","11.17","14.2","5","0","92.9","0","11","100","53","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-027","NH-428 Expansion","Tamil Nadu","Highways","55.9","55.9","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-028","NH-943 Expansion","Uttar Pradesh","Industrial Corridor","98.2","98.2","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-029","NH-81 Expansion","Gujarat","Highways","56.9","56.9","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-030","NH-872 Expansion","Gujarat","Industrial Corridor","47.4","7.75","16.4","1","0","91.8","0","32","100","55","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-031","RURAL ROAD-390","Maharashtra","Public Infrastructure","12.1","12.1","100","1","0","5","0","0","25","10","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-032","NH-772 Expansion","Maharashtra","Industrial Corridor","84.9","36.67","43.2","4","0","67.6","0","29","91.4","53","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-033","NH-703 Expansion","Tamil Nadu","Highways","76.9","7.8","10.1","3","0","95","0","21","100","55","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-034","RURAL ROAD-44","Tamil Nadu","Highways","13.7","13.33","97.3","3","0","7.59999999999999","0","0","27","14","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-035","RURAL ROAD-446","Maharashtra","Public Infrastructure","32.9","26.26","79.8","5","3","44.1","57","14","76.1","60","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-036","RURAL ROAD-351","Maharashtra","Industrial Corridor","46.4","46.4","100","4","0","5","0","0","25","12","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-037","RURAL ROAD-456","Maharashtra","Industrial Corridor","66.2","56.61","85.5","2","0","18.8","0","0","35.9","23","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-038","NH-252 Expansion","Uttar Pradesh","Public Infrastructure","53.7","53.7","100","4","0","5","0","0","25","12","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-039","NH-296 Expansion","Tamil Nadu","Industrial Corridor","87.5","87.5","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-040","RURAL ROAD-237","Tamil Nadu","Industrial Corridor","38.2","10.95","28.7","3","0","85.6","0","24","100","53","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-041","NH-53 Expansion","Uttar Pradesh","Highways","12.6","12.6","100","4","0","5","0","0","25","12","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-042","NH-217 Expansion","Maharashtra","Industrial Corridor","32.5","32.5","100","5","0","5","0","0","25","12","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-043","NH-380 Expansion","Tamil Nadu","Industrial Corridor","37.6","37.6","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-044","NH-157 Expansion","Uttar Pradesh","Public Infrastructure","89.7","46.81","52.2","4","0","60.8","0","33","89.6","53","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-045","RURAL ROAD-65","Tamil Nadu","Public Infrastructure","70.8","20.61","29.1","2","3","79.6","33","38","91.3","73","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-046","NH-521 Expansion","Uttar Pradesh","Railways","38.3","38.3","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-047","RURAL ROAD-492","Tamil Nadu","Highways","97.8","50.72","51.9","1","0","61.1","0","29","89.6","51","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-048","NH-63 Expansion","Maharashtra","Industrial Corridor","58","10.25","17.7","4","0","91.2","0","19","100","54","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-049","RURAL ROAD-81","Tamil Nadu","Industrial Corridor","55.2","43.83","79.4","2","2","44.4","58","15","76.2","63","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-050","RURAL ROAD-419","Tamil Nadu","Railways","92.8","49.27","53.1","1","0","60.2","0","15","89.4","48","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
